Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Toyota,Prius 30,2015,2023,5 сая ₮,150000,1.7 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2015,2023,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Sai,2013,2022,5 сая ₮,120000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2013,2022,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,4
Toyota,Land Cruiser Prado,2014,2023,92 сая ₮,132000,2.7 л,Автомат,Буруу,Жийп,Хар,2014,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 30,2011,2022,20 сая ₮,184,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2011,2022,Хайбрид,Цагаан шар,гүй,Урдаа FWD,Дугаар авсан,5
Jeep,Бусад,2013,2023,5 сая ₮,180000,2.4 л,Автомат,Зөв,Жийп,Хар,2013,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,FJ Cruiser,2006,2023,70 сая ₮,150000,4.0 л,Автомат,Зөв,Жийп,Шар,2006,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,3
Nissan,Murano,2014,2023,5 сая ₮,170000,3.5 л,Автомат,Буруу,Жийп,Хар,2014,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Volkswagen,Tiguan,2019,2023,75 сая ₮,32800,2.0 л,Автомат,Буруу,Жийп,Хар саарал,2019,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Harrier,2014,2024,68 сая ₮,140000,2.5 л,Автомат,Буруу,Жийп,Хар,2014,2024,Хайбрид,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Lexus,LX,2011,2012,110 сая ₮,180000,5.7 л,Автомат,Зөв,Жийп,Хар,2011,2012,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Highlander,2008,2014,33 сая ₮,150,3.0 л,Автомат,Зөв,Жийп,Саарал,2008,2014,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Hyundai,Sonata,2016,2021,31 сая ₮,83700,2.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2016,2021,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Vellfire,2014,2024,49 сая ₮,190000,2.4 л,Автомат,Буруу,Гэр бүлийн,Хар,2014,2024,Хайбрид,Шаргал,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Nissan,X-Trail,2014,2020,35 сая ₮,103000,2.5 л,Автомат,Буруу,Жийп,Улаан,2014,2020,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 41,2012,2024,27 сая ₮,150000,1.8 л,Автомат,Буруу,Гэр бүлийн,Хар,2012,2024,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Volkswagen,Touareg,2019,2020,160 сая ₮,30000,3.0 л,Автомат,Зөв,Жийп,Хөх,2019,2020,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Alphard,2017,2017,155 сая ₮,96000,3.5 л,Автомат,Зөв,Гэр бүлийн,Хар,2017,2017,Бензин,Шаргал,гүй,Урдаа FWD,Дугаар авсан,5
Ford,Ranger,2015,2021,38 сая ₮,101900,3.2 л,Механик,Буруу,Жийп,Цагаан,2015,2021,Дизель,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Aqua,2012,2021,5 сая ₮,160000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2021,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Tesla,Model Y,2021,2024,160 сая ₮,68000,Цахилгаан,Автомат,Зөв,Суудлын тэрэг,Цагаан,2021,2024,Цахилгаан,Хар,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Hyundai,Sonata,2015,2023,16 сая ₮,640000,2.0 л,Автомат,Зөв,Суудлын тэрэг,Цагаан,2015,2023,Газ,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Ford,Бусад,2018,2019,180 сая ₮,74000,3.5 л,Автомат,Зөв,Жийп,Хөх,2018,2019,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Kluger,2015,2020,53 сая ₮,137000,3.5 л,Автомат,Буруу,Жийп,Саарал,2015,2020,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Mitsubishi,Outlander,2007,2015,10 сая ₮,100,2.4 л,Автомат,Буруу,Жийп,Шар,2007,2015,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Hummer,H-2,2003,2011,35 сая ₮,180,5.9 л,Автомат,Зөв,Жийп,Хар,2003,2011,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land Cruiser 300,2024,2024,378 сая ₮,0,3.5 л,Автомат,Зөв,Жийп,Хар,2024,2024,Бензин,Хар,гүй,Бүх дугуй 4WD,00 гүйлттэй,5
Toyota,Hiace,2011,2023,50 сая ₮,220000,2.7 л,Автомат,Буруу,Гэр бүлийн,Саарал,2011,2023,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Land Cruiser 300,2023,2024,315 сая ₮,2300,3.5 л,Автомат,Буруу,Жийп,Хар,2023,2024,Бензин,Бусад,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Lexus,RX,2015,2024,92 сая ₮,148000,3.5 л,Автомат,Буруу,Жийп,Хар,2015,2024,Хайбрид,Хар,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Nissan,Patrol,2015,2015,125 сая ₮,130000,5.6 л,Автомат,Зөв,Жийп,Хүрэн,2015,2015,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Mark,2004,2013,7 сая ₮,10000,2.1 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2004,2013,Бензин,Саарал,гүй,Хойноо RWD,Дугаар авсан,4
Mercedes-Benz,S-Class,2014,2023,120 сая ₮,125000,3.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2014,2023,Хайбрид,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land cruiser Prado 150,2012,2021,75 сая ₮,160000,3.0 л,Автомат,Буруу,Жийп,Цагаан,2012,2021,Дизель,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Land,Rover Defender,2022,2023,345 сая ₮,13000,3.0 л,Автомат,Зөв,Жийп,Хар,2022,2023,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land Cruiser 105,2001,2007,36 сая ₮,1000,4.7 л,Механик,Зөв,Жийп,Ногоон,2001,2007,Дизель,Бусад,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Mercedes-Benz,E-Class,2015,2023,75 сая ₮,75000,3.5 л,Автомат,Зөв,Суудлын тэрэг,Саарал,2015,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Mercedes-Benz,E-Class,2014,2023,75 сая ₮,100000,3.5 л,Автомат,Зөв,Суудлын тэрэг,Хар,2014,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Ford,Expedition,2010,2010,26 сая ₮,115000,5.3 л,Автомат,Зөв,Жийп,Саарал,2010,2010,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Mercedes-Benz,S-Class,2018,2024,270 сая ₮,56000,4.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2018,2024,Бензин,Бор,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Mercedes-Benz,S-Class,2018,2024,270 сая ₮,65000,4.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2018,2024,Бензин,Цагаан шар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Toyota,Crown,2018,2024,75 сая ₮,114000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2018,2024,Хайбрид,Хар,гүй,Хойноо RWD,Дугаар авсан,5
Kia,Бусад,2024,2024,5 сая ₮,12,1.5 л,Автомат,Зөв,Жийп,Сувдан цагаан,2024,2024,Бензин,Хар,гүй,Урдаа FWD,00 гүйлттэй,5
Mitsubishi,Pajero,2021,2008,5 сая ₮,147000,3.0 л,Автомат,Буруу,Жийп,Хар,2021,2008,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Mazda,CX,2014,2021,32 сая ₮,84000,2.5 л,Автомат,Буруу,Жийп,Цагаан,2014,2021,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land Cruiser Prado,2020,2024,115 сая ₮,68000,2.8 л,Автомат,Буруу,Жийп,Сувдан цагаан,2020,2024,Дизель,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Hyundai,Sonata,2019,2023,55 сая ₮,130000,2.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2019,2023,Бензин,Хар,гүй,Урдаа FWD,Дугаар аваагүй,4
Toyota,4Runner,2022,2024,205 сая ₮,2000,4.0 л,Автомат,Зөв,Жийп,Цагаан,2022,2024,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Fielder,2015,2021,5 сая ₮,226000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2021,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,RAV4,2011,2022,30 сая ₮,102000,2.3 л,Автомат,Буруу,Жийп,Цагаан,2011,2022,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Land Cruiser 300,2023,2023,355 сая ₮,8000,3.4 л,Автомат,Зөв,Жийп,Сувдан цагаан,2023,2023,Бензин,Бусад,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Estima,2008,2024,25 сая ₮,178000,2.4 л,Автомат,Буруу,Гэр бүлийн,Саарал,2008,2024,Хайбрид,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Land,Rover Бусад,2014,2023,68 сая ₮,40000,2.0 л,Автомат,Буруу,Жийп,Хөх,2014,2023,Бензин,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Sai,2013,2022,32 сая ₮,160000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2022,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Mark,2009,2019,5 сая ₮,150000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2009,2019,Бензин,Цагаан шар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Harrier,2005,2020,32 сая ₮,1600000,3.3 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2005,2020,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Harrier,2008,2014,25 сая ₮,160,3.3 л,Автомат,Буруу,Жийп,Хар,2008,2014,Хайбрид,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Lexus,HS,2012,2021,8 сая ₮,2100000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2021,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Lexus,HS,2009,2021,9 сая ₮,180,2.4 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2009,2021,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Land,Rover Range Rover,2012,2014,55 сая ₮,100000,5.0 л,Автомат,Зөв,Жийп,Хар,2012,2014,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Jeep,Grand Cherokee,2015,2016,80 сая ₮,140000,3.6 л,Автомат,Зөв,Жийп,Бусад,2015,2016,Бензин,Бусад,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Mercedes-Benz,G-Class,2022,2022,550 сая ₮,18000,4.0 л,Автомат,Зөв,Жийп,Хар,2022,2022,Бензин,Бусад,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Aqua,2019,2024,9 сая ₮,246000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2019,2024,Хайбрид,Саарал,Банкны лизингтэй,Урдаа FWD,Дугаар аваагүй,5
Toyota,Land Cruiser 200,2017,2017,210 сая ₮,110,4.7 л,Автомат,Зөв,Жийп,Хар,2017,2017,Бензин,Бор,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Lexus,HS,2016,2023,45 сая ₮,39000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Улаан,2016,2023,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Land cruiser Prado 120,2004,2011,38 сая ₮,250000,3.4 л,Автомат,Буруу,Жийп,Саарал,2004,2011,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Axio,2014,2020,5 сая ₮,190000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2014,2020,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Wish,2009,2018,5 сая ₮,150,1.8 л,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2009,2018,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Suzuki,Escudo,2005,2012,10 сая ₮,2000000,2.7 л,Автомат,Буруу,Жийп,Хар саарал,2005,2012,Бензин,Бусад,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Alphard,2010,2019,5 сая ₮,200000,2.4 л,Автомат,Буруу,Гэр бүлийн,Хар,2010,2019,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Land Cruiser 200,2015,2015,130 сая ₮,170000,4.7 л,Автомат,Зөв,Жийп,Хар,2015,2015,Дизель,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Hilux,2004,2007,5 сая ₮,150,4.0 л,Автомат,Зөв,Жийп,Хар,2004,2007,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Alphard,2009,2019,32 сая ₮,200,2.3 л,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2009,2019,Бензин,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
BMW,X3,2011,2012,48 сая ₮,95600,3.0 л,Автомат,Зөв,Жийп,Саарал,2011,2012,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Sai,2011,2024,9 сая ₮,140000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2024,Хайбрид,Бор,ББСБ лизингтэй,Урдаа FWD,Дугаар аваагүй,4
Toyota,Crown,2014,2024,42 сая ₮,174000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2014,2024,Хайбрид,Шаргал,ББСБ лизингтэй,Хойноо RWD,Дугаар авсан,4
Toyota,Prius 20,2007,2018,9 сая ₮,200000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2007,2018,Хайбрид,Шаргал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Aqua,2015,2023,16 сая ₮,21887,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2023,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Land Cruiser 200,2012,2012,135 сая ₮,126000,4.6 л,Автомат,Зөв,Жийп,Цагаан,2012,2012,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Fielder,2015,2021,18 сая ₮,200031,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2015,2021,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Land,Rover Discovery,2019,2019,170 сая ₮,29000,3.0 л,Автомат,Зөв,Жийп,Боронзон,2019,2019,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land cruiser Prado 150,2018,2020,135 сая ₮,70000,2.7 л,Автомат,Буруу,Жийп,Цагаан,2018,2020,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Nissan,Pathfinder,2018,2024,62 сая ₮,65000,3.5 л,Автомат,Буруу,Жийп,Хөх,2018,2024,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Sai,2016,2024,40 сая ₮,1000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2016,2024,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,4Runner,2015,2024,148 сая ₮,150000,4.0 л,Автомат,Зөв,Жийп,Улаан,2015,2024,Бензин,Бусад,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Crown,2010,2020,22 сая ₮,300000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2010,2020,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 41,2014,2023,5 сая ₮,200000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2023,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Kia,Sorento,2019,2023,70 сая ₮,506000,2.4 л,Автомат,Зөв,Жийп,Бусад,2019,2023,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Tacoma,2016,2023,130 сая ₮,10,3.5 л,Автомат,Зөв,Жийп,Хар саарал,2016,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Prius 30,2011,2023,21 сая ₮,200,1.8 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2023,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Changan,UNI-K,2023,2024,85 сая ₮,1500,2.0 л,Автомат,Зөв,Жийп,Сувдан цагаан,2023,2024,Бензин,Хар,Банкны лизингтэй,Урдаа FWD,Дугаар аваагүй,5
Toyota,Aqua,2013,2018,5 сая ₮,211900,1.5 л,Автомат,Зөв,Суудлын тэрэг,Саарал,2013,2018,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Fielder,2015,2024,5 сая ₮,217000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2015,2024,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Premio,2015,2024,37 сая ₮,90000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Бусад,2015,2024,Бензин,Цагаан шар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Audi,A4,2018,2019,60 сая ₮,33000,2.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2018,2019,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Lexus,NX,2016,2021,74 сая ₮,159000,2.0 л,Автомат,Зөв,Жийп,Бусад,2016,2021,Бензин,Бусад,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Lexus,HS,2011,2024,32 сая ₮,105000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Хөх,2011,2024,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Audi,A8,2015,2024,60 сая ₮,127000,3.0 л,Автомат,Буруу,Суудлын тэрэг,Хар,2015,2024,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Sai,2013,2023,35 сая ₮,179000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2023,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Land Cruiser 77,1995,2004,18 сая ₮,28000,3.0 л,Автомат,Буруу,Жийп,Хар,1995,2004,Дизель,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Nissan,Serena,2014,2024,5 сая ₮,144,1.9 л,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2014,2024,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Allion,2007,2018,5 сая ₮,110000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2007,2018,Бензин,Шаргал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Sai,2012,2020,20 сая ₮,220000,2.4 л,Автомат,Зөв,Суудлын тэрэг,Саарал,2012,2020,Хайбрид,Шаргал,гүй,Урдаа FWD,Дугаар авсан,4
Subaru,XV Crosstrek,2021,2024,8 сая ₮,32015,1.6 л,Автомат,Буруу,Жийп,Улаан,2021,2024,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар аваагүй,4
Toyota,Land Cruiser 300,2024,2024,250 сая ₮,0,4.0 л,Автомат,Зөв,Жийп,Бор,2024,2024,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Geely,Azkarra,2022,2023,68 сая ₮,7000,1.5 л,Автомат,Зөв,Жийп,Цагаан,2022,2023,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
BYD,Бусад,2024,2024,88 сая ₮,700,1.5 л,Автомат,Зөв,Суудлын тэрэг,Цагаан,2024,2024,Хайбрид,Цагаан шар,Банкны лизингтэй,Урдаа FWD,Дугаар аваагүй,5
Toyota,Harrier,2018,2024,82 сая ₮,84000,2.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2018,2024,Хайбрид,Шаргал,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Harrier,2014,2024,69 сая ₮,95000,2.5 л,Автомат,Буруу,Жийп,Хар,2014,2024,Хайбрид,Бусад,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Lexus,LX,2019,2022,345 сая ₮,28000,5.7 л,Автомат,Зөв,Жийп,Хар,2019,2022,Бензин,Цагаан шар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land Cruiser Prado,2014,2024,125 сая ₮,180000,4.0 л,Автомат,Буруу,Жийп,Хар,2014,2024,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land cruiser Prado 150,2014,2024,125 сая ₮,180000,4.0 л,Автомат,Буруу,Жийп,Хар,2014,2024,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Lexus,NX,2014,2024,82 сая ₮,114000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2024,Хайбрид,Хар,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Nissan,Note,2007,2014,9 сая ₮,141000,1.3 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2007,2014,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Land Cruiser Prado,2005,2023,8 сая ₮,169000,3.4 л,Автомат,Буруу,Жийп,Хар саарал,2005,2023,Бензин,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Subaru,Forester,2022,2024,64 сая ₮,13000,2.5 л,Автомат,Буруу,Жийп,Хар саарал,2022,2024,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Geely,Coolray,2023,2024,75 сая ₮,2800,1.5 л,Автомат,Зөв,Жийп,Хар саарал,2023,2024,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
BMW,M-сери,2019,2020,350 сая ₮,20000,4.4 л,Автомат,Зөв,Суудлын тэрэг,Хар саарал,2019,2020,Бензин,Бусад,гүй,Бүх дугуй 4WD,Дугаар авсан,2
Changan,Бусад,2019,2024,38 сая ₮,46806,Цахилгаан,Автомат,Зөв,Суудлын тэрэг,Цагаан,2019,2024,Цахилгаан,Хар,Банкны лизингтэй,Урдаа FWD,Дугаар аваагүй,4
Lexus,HS,2011,2020,26 сая ₮,158000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2011,2020,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Alphard,2017,2023,98 сая ₮,177000,2.5 л,Автомат,Буруу,Гэр бүлийн,Цагаан,2017,2023,Хайбрид,Цагаан шар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Land,Rover Range Rover,2017,2021,227 сая ₮,74000,4.4 л,Автомат,Зөв,Жийп,Хар,2017,2021,Дизель,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Land Cruiser 200,2020,2021,240 сая ₮,51450,4.7 л,Автомат,Зөв,Жийп,Хар,2020,2021,Бензин,Шаргал,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,C-HR,2016,2018,45 сая ₮,22000,1.2 л,Автомат,Буруу,Жийп,Боронзон,2016,2018,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Nissan,Teana,2014,2020,22 сая ₮,117000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2020,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Highlander,2018,2024,83 сая ₮,90000,3.5 л,Автомат,Буруу,Жийп,Хар,2018,2024,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Lexus,RX,2017,2024,140 сая ₮,680000,3.5 л,Автомат,Зөв,Жийп,Боронзон,2017,2024,Хайбрид,Бор,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Vanguard,2008,2017,21 сая ₮,170000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2008,2017,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,RAV4,2020,2024,104 сая ₮,64000,2.5 л,Автомат,Зөв,Жийп,Сувдан цагаан,2020,2024,Хайбрид,Саарал,гүй,Бүх дугуй 4WD,Дугаар аваагүй,5
Lexus,RX,2010,2024,59 сая ₮,144669,3.5 л,Автомат,Буруу,Жийп,Цагаан,2010,2024,Хайбрид,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Jaguar,XJ,2014,2024,8 сая ₮,100000,3.0 л,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2024,Бензин,Шаргал,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Volkswagen,Tiguan,2018,2021,81 сая ₮,46000,2.0 л,Автомат,Зөв,Жийп,Сувдан цагаан,2018,2021,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 41,2012,2022,28 сая ₮,139000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2022,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Chery,Бусад,2019,2021,32 сая ₮,50000,4.0 л,Автомат,Зөв,Жийп,Цагаан,2019,2021,Цахилгаан,Саарал,гүй,Хойноо RWD,Дугаар аваагүй,5
Changan,CS,2021,2021,77 сая ₮,52000,2.0 л,Автомат,Зөв,Жийп,Цагаан,2021,2021,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
