Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Toyota,Land Cruiser Prado,2013,2024,100 сая ₮,109000,2.7 л,Автомат,Буруу,Жийп,Сувдан цагаан,2013,2024,Бензин,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Lexus,RX,2011,2023,55 сая ₮,194000,3.5 л,Автомат,Буруу,Жийп,Хар,2011,2023,Бензин,Бор,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 20,2005,2017,8 сая ₮,123,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2005,2017,Хайбрид,Саарал,гүй,Хойноо RWD,Дугаар авсан,5
Lexus,LX,2008,2022,37 сая ₮,16,3.3 л,Автомат,Буруу,Жийп,Хар,2008,2022,Хайбрид,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Jeep,Grand Cherokee,1993,1996,5 сая ₮,1234567,2.5 л,Механик,Зөв,Жийп,Цагаан,1993,1996,Дизель,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 30,2011,2018,5 сая ₮,250000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2018,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Wish,2009,2018,12 сая ₮,280000,1.8 л,Автомат,Буруу,Гэр бүлийн,Цагаан,2009,2018,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Crown,2013,2019,8 сая ₮,222000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2013,2019,Хайбрид,Хар,гүй,Хойноо RWD,Дугаар авсан,5
Lexus,RX,2023,2024,340 сая ₮,9000,2.5 л,Автомат,Зөв,Жийп,Цагаан,2023,2024,Хайбрид,Бусад,гүй,Бүх дугуй 4WD,Дугаар аваагүй,4
Toyota,Prius 30,2013,2024,8 сая ₮,200000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2013,2024,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар аваагүй,5
Toyota,Spade Porte,2013,2021,15 сая ₮,152000,1.5 л,Автомат,Буруу,Гэр бүлийн,Цайвар цэнхэр,2013,2021,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,3
Toyota,Sai,2010,2019,20 сая ₮,158000,2.3 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2010,2019,Бензин,Цагаан шар,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Highlander,2007,2013,37 сая ₮,190000,3.3 л,Автомат,Зөв,Жийп,Саарал,2007,2013,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
